country,player_name,player_club,in_top_5_league,player_age,market_value,market_value_int
Turks and Caicos Islands,Callum Park,AFC Academy (Academy Jaguars),False,21,,0
Turks and Caicos Islands,Billy Forbes,SWA Sharks FC,False,35,€50k,50000
Turks and Caicos Islands,Emmanuel Martin,AFC Academy B (Academy Eagles),False,18,,0
Turks and Caicos Islands,Junior Paul,AFC Academy (Academy Jaguars),False,24,,0
Iraq,Ahmed Basil Fadhil,Al-Shorta SC,False,29,€450k,450000
Iraq,Fahad Talib,Al-Talaba SC,False,31,€400k,400000
Iraq,Jalal Hassan,Al-Zawraa SC,False,34,€300k,300000
Iraq,Akam Hashem,Al-Zawraa SC,False,27,€600k,600000
Iraq,Maytham Jabbar,Al-Zawraa SC,False,25,€400k,400000
Iraq,Manaf Younis,Al-Shorta SC,False,29,€350k,350000
Iraq,Saad Natiq,Duhok SC,False,31,€200k,200000
Iraq,Ahmed Yahya,Al-Shorta SC,False,30,€500k,500000
Iraq,Ahmed Hasan,Al-Karma,False,24,€400k,400000
Iraq,Mustafa Saadoon,Al-Shorta SC,False,24,€300k,300000
Iraq,Zaid Ismail,Al-Talaba SC,False,24,€400k,400000
Iraq,Amjad Attwan,Zakho SC,False,28,€800k,800000
Iraq,Sajad Jassim,Al-Karma,False,28,€500k,500000
Iraq,Karar Nabeel,Al-Zawraa SC,False,28,€300k,300000
Iraq,Ali Jasim,Al-Najma SC,False,22,€550k,550000
Iraq,Hussein Ali,Al-Shorta SC,False,29,€450k,450000
Iraq,Sherko Karim,Zakho SC,False,29,€450k,450000
Iraq,Hasan Abdulkareem,Al-Zawraa SC,False,27,€700k,700000
Iraq,Mohanad Ali,Dibba SCC,False,25,€1.40m,1400000
Iraq,Amar Muhsin,Gimpo FC,False,28,€450k,450000
Iraq,Aymen Hussein,Al-Karma,False,29,€450k,450000
Iraq,Mohammed Jawad,Al-Quwa Al-Jawiya,False,29,€350k,350000
Palestine,Rami Hamadeh,Umm Salal SC,False,31,€250k,250000
Palestine,Abed Yassin,Ihud Bnei Sakhnin,False,21,€125k,125000
Palestine,Mahdi Assi,Shabab Al-Bireh Foundation,False,21,€25k,25000
Palestine,Michel Termanini,Al-Shamal SC,False,27,€350k,350000
Palestine,Mohammed Saleh,Al-Rayyan SC,False,32,€200k,200000
