country,player_name,player_club,in_top_5_league,player_age,market_value,market_value_int
Papua New Guinea,Oberth Simon,UnknownUnknown,False,25,,0
Papua New Guinea,Kenneth Arah,Gulf Komara FC,False,30,,0
Papua New Guinea,Nathaniel Eddie,PNG Hekari FC,False,23,,0
Papua New Guinea,Logan Biwa,PNG Hekari FC,False,25,,0
Papua New Guinea,Judahbill Asar,PNG Hekari FC,False,27,,0
Northern Ireland,Conor Hazard,Plymouth Argyle,False,28,€800k,800000
Northern Ireland,Luke Southwood,Bristol Rovers,False,28,€350k,350000
Northern Ireland,Josh Clarke,Partick Thistle FC,False,21,€125k,125000
Northern Ireland,Paddy McNair,Hull City,False,30,€2.80m,2800000
Northern Ireland,Ruairi McConville,Norwich City,False,20,€2.40m,2400000
Northern Ireland,Ciaron Brown,Oxford United,False,28,€1.50m,1500000
Northern Ireland,Eoin Toal,Bolton Wanderers,False,27,€700k,700000
Northern Ireland,Ryan Johnson,AFC Wimbledon,False,29,€275k,275000
Northern Ireland,Jamal Lewis,Preston North End,False,28,€2.00m,2000000
Northern Ireland,Conor Bradley,Liverpool FC,True,22,€30.00m,30000000
Northern Ireland,Trai Hume,Sunderland AFC,False,23,€18.00m,18000000
Northern Ireland,Terry Devlin,Portsmouth FC,False,22,€2.00m,2000000
Northern Ireland,Jamie McDonnell,Oxford United,False,22,€1.00m,1000000
Northern Ireland,Patrick Kelly,Barnsley FC,False,21,€300k,300000
Northern Ireland,Isaac Price,West Bromwich Albion,False,22,€10.00m,10000000
Northern Ireland,Ethan Galbraith,Swansea City,False,24,€1.50m,1500000
Northern Ireland,George Saville,Luton Town,False,32,€750k,750000
Northern Ireland,Brad Lyons,Kilmarnock FC,False,28,€350k,350000
Northern Ireland,Justin Devenny,Crystal Palace,True,22,€8.00m,8000000
Northern Ireland,Jamie Donley,Oxford United,False,21,€1.50m,1500000
Northern Ireland,Paul Smyth,Queens Park Rangers,False,28,€600k,600000
Northern Ireland,Callum Marshall,VfL Bochum,False,21,€2.00m,2000000
Northern Ireland,Dion Charles,Huddersfield Town,False,30,€650k,650000
Northern Ireland,Josh Magennis,Exeter City,False,35,€75k,75000
Costa Rica,Patrick Sequeira,Casa Pia AC,False,27,€3.50m,3500000
Costa Rica,Keylor Navas,UNAM Pumas,False,39,€800k,800000
Costa Rica,Kevin Chamorro,Rio Ave FC,False,25,€300k,300000
Costa Rica,Julio Cascante,Without ClubWithout Club,False,32,€1.20m,1200000
Costa Rica,Santiago van der Putten,LD Alajuelense,False,21,€900k,900000
Costa Rica,Juan Pablo Vargas,Puebla FC,False,30,€900k,900000
Costa Rica,Francisco Calvo,Al-Ettifaq FC,False,33,€700k,700000
Costa Rica,Alexis Gamboa,LD Alajuelense,False,26,€600k,600000
Costa Rica,Guillermo Villalobos,LD Alajuelense,False,24,€400k,400000
Costa Rica,Kendall Waston,Deportivo Saprissa,False,38,€100k,100000
Costa Rica,Joseph Mora,Deportivo Saprissa,False,33,€300k,300000
Costa Rica,Haxzel Quirós,CS Herediano,False,27,€250k,250000
Costa Rica,Orlando Galo,Riga FC,False,25,€800k,800000
Costa Rica,Alejandro Bran,LD Alajuelense,False,25,€450k,450000
Costa Rica,Aaron Murillo,CS Herediano,False,27,€200k,200000
Costa Rica,Celso Borges,LD Alajuelense,False,37,€150k,150000
Costa Rica,Carlos Mora,Universitatea Craiova,False,24,€1.00m,1000000
Costa Rica,Creichel Pérez,LD Alajuelense,False,21,€600k,600000
Costa Rica,Josimar Alcócer,KVC Westerlo,False,21,€3.50m,3500000
Costa Rica,Álvaro Zamora,Académico Viseu FC,False,23,€1.30m,1300000
Costa Rica,Warren Madrigal,Nashville SC,False,21,€600k,600000
Costa Rica,Kenneth Vargas,LD Alajuelense,False,23,€750k,750000
Costa Rica,Anthony Hernández,LD Alajuelense,False,24,€450k,450000
Costa Rica,Joel Campbell,LD Alajuelense,False,33,€375k,375000
Costa Rica,Manfred Ugalde,Spartak Moscow,False,23,€14.00m,14000000
Costa Rica,Alonso Martínez,New York City FC,False,27,€6.00m,6000000
Vanuatu,Massing Kalotang,Yatel FC,False,23,,0
Vanuatu,Daniel Alick,Ifira Black Bird FC,False,27,,0
Vanuatu,Dick Sablan,Ifira Black Bird FC,False,29,,0
Vanuatu,Brian Kaltak,Perth Glory,False,32,€400k,400000
Vanuatu,Timothy Boulet,Without ClubWithout Club,False,27,€10k,10000
Vanuatu,Jared Clark,FK Beograd,False,28,,0
Vanuatu,Jeffrey Tasso,Western Strikers SC,False,27,,0
Vanuatu,Thomas Napakaurana,Ifira Black Bird FC,False,29,,0
Vanuatu,Michel Coulon,Vanuatu United FC,False,30,,0
Vanuatu,Jacques Wanemut,Ifira Black Bird FC,False,34,,0
Vanuatu,Selwyn Vatu,ABM Galaxy FC,False,27,,0
Vanuatu,Jacky Ruben,North Efate United FC,False,29,,0
Vanuatu,John Alick,PNG Hekari FC,False,34,€75k,75000
Vanuatu,Raoul Coulon,Vanuatu United FC,False,30,,0
Vanuatu,Alick Worworbu,Yatel FC,False,28,,0
Vanuatu,Mitch Cooper,Bayside FC,False,31,,0
Vanuatu,Bong Kalo,ABM Galaxy FC,False,29,,0
Vanuatu,Jonathan Spokeyjack,Ifira Black Bird FC,False,27,,0
Vanuatu,Godine Tenene,Ifira Black Bird FC,False,27,,0
Vanuatu,Alex Saniel,Vanuatu United FC,False,29,€100k,100000
Vanuatu,Jordy Tasip,Vanuatu United FC,False,25,€10k,10000
Vanuatu,Jean Kaltack,UnknownUnknown,False,31,,0
Vanuatu,Kensi Tangis,ABM Galaxy FC,False,36,,0
Vanuatu,Kaltfer Kaltack,Vanuatu United FC,False,28,,0
Qatar,Meshaal Barsham,Al-Sadd SC,False,28,€800k,800000
Qatar,Shehab Ellethy,Al-Shahania SC,False,25,€350k,350000
Qatar,Mahmoud Abunada,Al-Rayyan SC,False,26,€350k,350000
Qatar,Tarek Salman,Al-Sadd SC,False,28,€600k,600000
Qatar,Youssef Ayman,Al-Duhail SC,False,26,€400k,400000
Qatar,Lucas Mendes,Al-Wakrah SC,False,35,€375k,375000
Qatar,Al-Hashmi Al-Hussain,Al-Arabi SC,False,22,€250k,250000
Qatar,Issa Laye,Al-Arabi SC,False,28,€200k,200000
Qatar,Mohammed Waad,Al-Shamal SC,False,26,€500k,500000
Qatar,Homam Al-Amin,Cultural Leonesa,False,26,€500k,500000
Qatar,Sultan Al-Brake,Al-Duhail SC,False,29,€325k,325000
Qatar,Ayoub Al-Oui,Al-Gharafa SC,False,20,€350k,350000
Qatar,Jassem Gaber,Al-Rayyan SC,False,24,€600k,600000
Qatar,Mohamed Al-Mannai,Al-Shamal SC,False,22,€400k,400000
Qatar,Assim Madibo,Al-Wakrah SC,False,29,€350k,350000
Qatar,Ahmed Fathi,Al-Arabi SC,False,33,€275k,275000
Qatar,Abdulaziz Hatim,Al-Rayyan SC,False,35,€275k,275000
Qatar,Akram Afif,Al-Sadd SC,False,29,€8.00m,8000000
Qatar,Edmílson Junior,Al-Duhail SC,False,31,€2.00m,2000000
Qatar,Mohamed Khaled Gouda,Al-Arabi SC,False,21,€250k,250000
Qatar,Khalid Ali Sabah,Al-Sailiya SC,False,24,€250k,250000
Qatar,Ahmed Alaaeldin,Al-Rayyan SC,False,33,€375k,375000
Qatar,Mohammed Muntari,Al-Gharafa SC,False,32,€225k,225000
Azerbaijan,Shahrudin Mahammadaliyev,Qarabağ FK,False,31,€700k,700000
Azerbaijan,Rza Cafarov,FK Gabala,False,22,€700k,700000
Azerbaijan,Aydyn Bayramov,Zira FC,False,30,€600k,600000
Azerbaijan,Bahlul Mustafazada,Qarabağ FK,False,29,€1.00m,1000000
Azerbaijan,Anton Kryvotsiuk,Daejeon Hana Citizen,False,27,€700k,700000
Azerbaijan,Calal Hüseynov,Arda Kardzhali,False,23,€700k,700000
Azerbaijan,Elvin Badalov,Neftchi PFK,False,30,€600k,600000
Azerbaijan,Rahman Dashdamirov,Sabah FK,False,26,€500k,500000
Azerbaijan,Toral Bayramov,Qarabağ FK,False,25,€1.80m,1800000
Azerbaijan,Elvin Cafarquliyev,Qarabağ FK,False,25,€1.50m,1500000
Azerbaijan,Rüfat Abbasov,FC Shamakhi,False,21,€900k,900000
Azerbaijan,Qismat Aliyev,Zira FC,False,29,€1.20m,1200000
Azerbaijan,Abbas Hüseynov,Qarabağ FK,False,30,€500k,500000
Azerbaijan,Ismayil Ibrahimli,Zira FC,False,28,€500k,500000
Azerbaijan,Mustafa Ahmadzada,Araz-Nakhchivan,False,22,€200k,200000
Azerbaijan,Sabuhi Abdullazada,Sumgayit PFC,False,24,€1.20m,1200000
Azerbaijan,Emin Mahmudov,Neftchi PFK,False,33,€500k,500000
Azerbaijan,Ceyhun Nuriyev,Zira FC,False,24,€700k,700000
Azerbaijan,Anatoliy Nuriyev,Zira FC,False,29,€500k,500000
Azerbaijan,Ozan Kökcü,FC Volendam,False,27,€350k,350000
Azerbaijan,Khayal Aliyev,Sabah FK,False,22,€600k,600000
Azerbaijan,Nariman Akhundzada,Columbus Crew,False,21,€2.50m,2500000
Azerbaijan,Mahir Emreli,1.FC Kaiserslautern,False,28,€700k,700000
Azerbaijan,Musa Qurbanly,Qarabağ FK,False,23,€700k,700000
Azerbaijan,Renat Dadashov,Motor Lublin,False,26,€600k,600000
Germany,Noah Atubolu,SC Freiburg,True,23,€20.00m,20000000
Germany,Alexander Nübel,VfB Stuttgart,True,29,€12.00m,12000000
Germany,Finn Dahmen,FC Augsburg,True,27,€12.00m,12000000
Germany,Oliver Baumann,TSG 1899 Hoffenheim,True,35,€3.00m,3000000
Germany,Nico Schlotterbeck,Borussia Dortmund,True,26,€55.00m,55000000
Germany,Malick Thiaw,Newcastle United,True,24,€40.00m,40000000
Germany,Jonathan Tah,Bayern Munich,True,30,€30.00m,30000000
Germany,Waldemar Anton,Borussia Dortmund,True,29,€18.00m,18000000
Germany,Nathaniel Brown,Eintracht Frankfurt,True,22,€35.00m,35000000
Germany,David Raum,RB Leipzig,True,27,€20.00m,20000000
Germany,Ridle Baku,RB Leipzig,True,27,€12.00m,12000000
Germany,Aleksandar Pavlovic,Bayern Munich,True,21,€65.00m,65000000
Germany,Joshua Kimmich,Bayern Munich,True,31,€40.00m,40000000
Germany,Felix Nmecha,Borussia Dortmund,True,25,€45.00m,45000000
Germany,Assan Ouédraogo,RB Leipzig,True,19,€28.00m,28000000
Germany,Leon Goretzka,Bayern Munich,True,31,€15.00m,15000000
Germany,Florian Wirtz,Liverpool FC,True,22,€110.00m,110000000
Germany,Kevin Schade,Brentford FC,True,24,€35.00m,35000000
Germany,Karim Adeyemi,Borussia Dortmund,True,24,€60.00m,60000000
Germany,Jamie Leweling,VfB Stuttgart,True,25,€25.00m,25000000
Germany,Leroy Sané,Galatasaray,False,30,€22.00m,22000000
Germany,Serge Gnabry,Bayern Munich,True,30,€20.00m,20000000
Germany,Nick Woltemade,Newcastle United,True,24,€70.00m,70000000
Germany,Jonathan Burkardt,Eintracht Frankfurt,True,25,€35.00m,35000000
Bhutan,Gyeltshen Zangpo,Paro FC,False,27,€50k,50000
Bhutan,Tobgay,Transport United,False,27,€25k,25000
Bhutan,Jampel Dorji,Canberra FC,False,21,€25k,25000
Bhutan,Dendup Namgyel,Royal Thimphu College,False,23,€10k,10000
Bhutan,Kinzang Tashi Tobden,Thimphu City FC,False,21,€10k,10000
Bhutan,Tenzin Norbu,Balga SC,False,24,€50k,50000
Bhutan,Karma Chetrim,Paro FC,False,23,€50k,50000
Bhutan,Yeshi Gyeltshen,Royal Thimphu College,False,24,€25k,25000
Bhutan,Tenzin Dorji,Thimphu City FC,False,28,€10k,10000
Bhutan,Bikash Pradhan,Transport United,False,22,€10k,10000
Bhutan,Sherub Dorji,Bangladesh Police FC,False,23,€25k,25000
Bhutan,Jigman Setob Dorji,Thimphu City FC,False,20,€25k,25000
Bhutan,Jetsuen Dorji,Thimphu City FC,False,19,€10k,10000
Bhutan,Kelzang Jigme,Royal Thimphu College,False,25,,0
Bhutan,Tshelthrim Namgyel,Paro FC,False,23,€50k,50000
Bhutan,Orgyen Wangchuk Tshering,Bangladesh Police FC,False,26,€75k,75000
Bhutan,Pema Zangpo,Yarmanya United FC,False,20,€50k,50000
Bhutan,Kinga Wangchuk,Paro FC,False,23,€50k,50000
Bhutan,Dawa Tshering,Fortis FC,False,27,€25k,25000
Bhutan,Jigdrel Wangchuk,Transport United,False,23,€10k,10000
Bhutan,Nima Wangdi,Paro FC,False,27,€50k,50000
Bhutan,Kinzang Tenzin,Royal Thimphu College,False,20,€50k,50000
Bhutan,Jigme Namgyel,Royal Thimphu College,False,19,€10k,10000
Bhutan,Yeshi Dorji,Paro FC,False,24,,0
Bhutan,Rinzin Dorji,BFF Academy FC,False,18,,0
China PR,Zhen Ma,Shanghai Shenhua,False,27,€400k,400000
China PR,Bingliang Yan,Tianjin Jinmen Tiger,False,25,€250k,250000
China PR,Junling Yan,Shanghai Port,False,35,€200k,200000
China PR,Dianzuo Liu,Chengdu Rongcheng,False,35,€150k,150000
China PR,Chenjie Zhu,Shanghai Shenhua,False,25,€900k,900000
China PR,Zhen Wei,Shanghai Port,False,29,€350k,350000
China PR,Shaocong Wu,Beijing Guoan,False,25,€325k,325000
China PR,Zhunyi Gao,Shandong Taishan,False,30,€250k,250000
China PR,Yang Li,Chengdu Rongcheng,False,28,€200k,200000
China PR,Yang Liu,Shandong Taishan,False,30,€300k,300000
China PR,Lei Li,Beijing Guoan,False,33,€100k,100000
China PR,Zhuoyi Lü,Dalian Yingbo,False,24,€550k,550000
China PR,Zhengyu Huang,Shandong Taishan,False,29,€450k,450000
China PR,Jiahui Huang,Tianjin Jinmen Tiger,False,25,€275k,275000
China PR,Shangyuan Wang,Henan FC,False,32,€250k,250000
China PR,Yuanyi Li,Shandong Taishan,False,32,€250k,250000
China PR,Haoyang Xu,Shanghai Shenhua,False,27,€350k,350000
China PR,Serginho,Beijing Guoan,False,30,€1.50m,1500000
China PR,Jin Cheng,Zhejiang FC,False,31,€300k,300000
China PR,Liuyu Duan,Shandong Taishan,False,27,€225k,225000
China PR,Shihao Wei,Chengdu Rongcheng,False,30,€800k,800000
China PR,Liangming Lin,Beijing Guoan,False,28,€650k,650000
China PR,Yongjing Cao,Beijing Guoan,False,29,€450k,450000
China PR,Wenneng Xie,Shandong Taishan,False,25,€550k,550000
China PR,Dun Ba,Tianjin Jinmen Tiger,False,30,€300k,300000
China PR,Yuning Zhang,Beijing Guoan,False,29,€600k,600000
United Arab Emirates,Hamad Al-Meqbaali,Shabab Al-Ahli Club,False,22,€800k,800000
United Arab Emirates,Adel Al-Hosani,Sharjah FC,False,36,€175k,175000
United Arab Emirates,Ali Khaseif,Al-Jazira Club,False,38,€100k,100000
United Arab Emirates,Lucas Pimenta,Al-Wahda FC,False,25,€2.70m,2700000
United Arab Emirates,Ala Zhir,Al-Wahda FC,False,26,€2.50m,2500000
United Arab Emirates,Kouame Autonne Kouadio,Al-Ain FC,False,25,€2.20m,2200000
United Arab Emirates,Sasa Ivkovic,Al-Wahda FC,False,32,€1.00m,1000000
United Arab Emirates,Gustavo,Al-Nasr SC (UAE),False,25,€850k,850000
United Arab Emirates,Rúben Amaral,Al-Wahda FC,False,24,€2.20m,2200000
United Arab Emirates,Richard Akonnor,Al-Jazira Club,False,22,€900k,900000
United Arab Emirates,Marcus Meloni,Al-Jazira Club,False,25,€2.00m,2000000
United Arab Emirates,Khaled Ebraheim,Sharjah FC,False,29,€2.00m,2000000
United Arab Emirates,Yahya Nader,FC Baniyas,False,27,€1.70m,1700000
United Arab Emirates,Majid Rashid,Sharjah FC,False,25,€1.20m,1200000
United Arab Emirates,Issam Faiz,Al-Nasr SC (UAE),False,26,€650k,650000
United Arab Emirates,Nicolás Giménez,Al-Wasl SC,False,30,€4.20m,4200000
United Arab Emirates,Luan Pereira,Sharjah FC,False,25,€4.20m,4200000
United Arab Emirates,Caio Lucas,Sharjah FC,False,31,€4.00m,4000000
United Arab Emirates,Ali Saleh,Al-Wasl SC,False,26,€2.00m,2000000
United Arab Emirates,Yahya Al-Ghassani,Shabab Al-Ahli Club,False,27,€1.50m,1500000
United Arab Emirates,Harib Suhail,Sharjah FC,False,23,€1.80m,1800000
United Arab Emirates,Bruno,Al-Jazira Club,False,24,€900k,900000
United Arab Emirates,Sultan Adil,Shabab Al-Ahli Club,False,21,€300k,300000
Togo,Steven Mensah,VfB Oldenburg,False,22,€50k,50000
Togo,Fadle Tondoro-Cissé,AS Gbohloé-Su des Lacs,False,27,,0
Togo,Abd-Laziz Sambaou,Inova Sporting Club Association,False,31,,0
Togo,Amoudane Ouro-Ayeva,ASC Kara,False,28,,0
Togo,Kévin Boma,GD Estoril Praia,False,23,€4.00m,4000000
Togo,Dakonam Djené,Getafe CF,False,34,€1.60m,1600000
Togo,Kennedy Boateng,FC Dinamo 1948,False,29,€1.20m,1200000
Togo,Emmanuel Hackman,Turan-Tovuz IK,False,30,€700k,700000
Togo,Augustin Drakpe,FC Slovan Liberec,False,24,€300k,300000
Togo,Mawouna Amevor,FC Volendam,False,34,€225k,225000
Togo,Abdoul Sabourh Bode,Stade Malien,False,31,€150k,150000
Togo,Roger Aholou,Al-Ittihad SC,False,32,€1.00m,1000000
Togo,Samsindin Ouro,DAC Dunajska Streda,False,26,€700k,700000
Togo,Sadik Fofana,US Lecce,False,22,€600k,600000
Togo,Alaixys Romao,Six-Fours Le Brusc FC,False,42,€10k,10000
Togo,Isaac Monglo,Lyn 1896 FK,False,19,,0
Togo,Yaw Annor,Bank El Ahly,False,28,€1.00m,1000000
Togo,David Henen,SHB Da Nang FC,False,29,€275k,275000
Togo,Guillaume Yenoussi,Bourges Foot 18,False,28,€50k,50000
Togo,Kévin Denkey,FC Cincinnati,False,25,€14.00m,14000000
Togo,Kodjo Laba,Al-Ain FC,False,34,€3.20m,3200000
Togo,Thibault Klidjé,Randers FC,False,24,€2.20m,2200000
Togo,Yawo Agbagno,CS Constantine,False,25,€700k,700000
Togo,Ismaïl Ouro-Agoro,Tala'ea El Gaish,False,30,€275k,275000
Czech Republic,Matej Kovar,PSV Eindhoven,False,25,€7.00m,7000000
Czech Republic,Martin Jedlicka,FC Banik Ostrava,False,28,€2.50m,2500000
Czech Republic,Jakub Markovic,SK Slavia Prague,False,24,€2.50m,2500000
Czech Republic,Robin Hranac,TSG 1899 Hoffenheim,True,26,€7.00m,7000000
Czech Republic,Stepan Chaloupek,SK Slavia Prague,False,22,€6.00m,6000000
Czech Republic,Jaroslav Zelený,AC Sparta Prague,False,33,€800k,800000
Czech Republic,David Jurásek,SK Slavia Prague,False,25,€4.50m,4500000
Czech Republic,Vladimír Coufal,TSG 1899 Hoffenheim,True,33,€2.70m,2700000
Czech Republic,Tomáš Souček,West Ham United,True,31,€12.00m,12000000
Czech Republic,Michal Sadílek,SK Slavia Prague,False,26,€7.50m,7500000
Czech Republic,Lukas Cerv,FC Viktoria Plzen,False,24,€6.00m,6000000
Czech Republic,Michal Beran,SK Sigma Olomouc,False,25,€2.50m,2500000
Czech Republic,David Doudera,SK Slavia Prague,False,27,€4.00m,4000000
Czech Republic,Matej Rynes,AC Sparta Prague,False,24,€4.00m,4000000
Czech Republic,Adam Karabec,Olympique Lyon,False,22,€8.00m,8000000
Czech Republic,Patrik Hellebrand,Górnik Zabrze,False,26,€3.50m,3500000
Czech Republic,Krystof Danek,LASK,False,23,€2.00m,2000000
Czech Republic,Tomas Ladra,FC Viktoria Plzen,False,28,€1.00m,1000000
Czech Republic,Patrik Schick,Bayer 04 Leverkusen,True,30,€25.00m,25000000
Czech Republic,Mojmír Chytil,SK Slavia Prague,False,26,€3.50m,3500000
Czech Republic,Tomas Chory,SK Slavia Prague,False,31,€3.00m,3000000
Czech Republic,Vaclav Sejk,SK Sigma Olomouc,False,23,€900k,900000
Saint Lucia,Vino Barclett,Cavalier FC,False,26,,0
Saint Lucia,Devone St. Prix,La Clery FL,False,28,,0
Saint Lucia,Darren Donaie,Molynes United FC,False,22,,0
Saint Lucia,Ryan Remi,UnknownUnknown,False,21,,0
Saint Lucia,Terell Thomas,Carlisle United,False,30,€125k,125000
Saint Lucia,Melvin Doxilly,Mount Pleasant FA,False,28,,0
Saint Lucia,Kurt Frederick,Morvant Caledonia United,False,34,,0
Saint Lucia,Arkell Jude-Boyd,Cheltenham Town,False,23,€150k,150000
Saint Lucia,Josh Solomon-Davies,Vauxhall Motors FC,False,26,€25k,25000
Saint Lucia,Alvinus Myers,Spanish Town Police FC,False,28,,0
Saint Lucia,Bayan Aman,Without ClubWithout Club,False,20,€100k,100000
Saint Lucia,Trent Alexander,Square United Vieux Fort,False,24,,0
Saint Lucia,Leaus Henville,Mabouya Valley Rovers,False,29,,0
Saint Lucia,Hemaiael Charlery,UnknownUnknown,False,21,,0
Saint Lucia,Caniggia Elva,Cavalry FC,False,29,€100k,100000
Saint Lucia,Shaquan Nelson,UnknownUnknown,False,21,,0
Saint Lucia,Kegan Caull,Montego Bay United FC,False,21,,0
Saint Lucia,Saviola Elva,Platinum FC,False,23,,0
Saint Lucia,Aaron Richard,UnknownUnknown,False,27,,0
Saint Lucia,Troy Greenidge,Northern United All Stars,False,33,,0
Saint Lucia,Mervin St. Romain,La Clery FL,False,20,,0
Saint Lucia,Donavan Jn Baptiste,El Niños FC,False,29,,0
Saint Lucia,Ryan Charles,Aveley FC,False,36,,0
Pakistan,Adam Khan,Blackburn Rovers U21,False,20,€50k,50000
Pakistan,Hassan Ali,WAPDA FC,False,23,€25k,25000
Pakistan,Usman Ali,PWD SC (Dhaka),False,21,,0
Pakistan,Abdullah Iqbal,Mjällby AIF,False,23,€2.00m,2000000
Pakistan,Mohib Ullah,Aino FC Kandahar,False,20,€50k,50000
Pakistan,Waqar Ihtisham,Khan Research Laboratories FC,False,29,€25k,25000
Pakistan,Abdullah Shah,Brothers Union,False,25,€25k,25000
Pakistan,Junaid Shah,SA Gardens FC,False,22,€50k,50000
Pakistan,Omer Rao,Brothers Union,False,29,€75k,75000
Pakistan,Ali Uzair,PWD SC (Dhaka),False,29,€50k,50000
Pakistan,Mohammad Hayan Khattak,Brothers Union,False,23,,0
Pakistan,Alamgir Ghazi,Brothers Union,False,24,€100k,100000
Pakistan,Rahis Nabi,Without ClubWithout Club,False,26,€10k,10000
Pakistan,Tufail Shinwari,Karachi United,False,19,€25k,25000
Pakistan,Haris Zeb,Christchurch United,False,24,€175k,175000
Pakistan,Shayak Dost,Brothers Union,False,23,€50k,50000
Pakistan,Otis Khan,Altrincham FC,False,30,€25k,25000
Pakistan,Ahmed Faraz Gulzari,Melbourne Victory U21,False,18,€25k,25000
Pakistan,Abdul Arshad,Kolding IF,False,23,€100k,100000
Pakistan,Moin Ahmed,Khan Research Laboratories FC,False,22,€25k,25000
Pakistan,Umar Nawaz,FC Wrexham U18,False,17,€25k,25000
Pakistan,Kaleemullah Khan,PoPo FC,False,33,€25k,25000
Mauritania,Babacar Niasse,Difaâ El Jadida,False,29,€400k,400000
Mauritania,Babacar Diop,FC Nouadhibou,False,30,,0
Mauritania,Abderrahmane Sarr,Tromsø IL,False,20,,0
Mauritania,Abdellahi El Id,AS Douanes (Nouakchott),False,24,,0
Mauritania,Lamine Ba,Slask Wroclaw,False,28,€600k,600000
Mauritania,Nouh Mohamed El Abd,AS FAR Rabat,False,25,€250k,250000
Mauritania,Demini Saleck,FC Nouadhibou,False,31,€100k,100000
Mauritania,Mohamed Sarr,FC Nouadhibou,False,23,,0
Mauritania,Khadim Diaw,Al-Nasr SC,False,27,€175k,175000
Mauritania,Mohamed Ramdane Zweide,Amanat Baghdad,False,24,,0
Mauritania,Moctar El Hacen,Difaâ El Jadida,False,28,€300k,300000
Mauritania,Guessouma Fofana,Al-Hilal Club (Omdurman),False,33,€125k,125000
Mauritania,Sidi Yacoub,Al-Tahaddy SC,False,30,€125k,125000
Mauritania,Bakari Camara,AS Nancy-Lorraine,False,32,€100k,100000
Mauritania,Mohamed Saïd,FC Nouadhibou,False,26,,0
Mauritania,Maata Magassa,Zed FC,False,22,€350k,350000
Mauritania,Sidi Bouna Amar,Al-Shomooa SC,False,27,€450k,450000
Mauritania,Amar Haïdara,FK Liepaja,False,22,€250k,250000
Mauritania,Idrissa Thiam,Al-Mesaimeer SC,False,25,€400k,400000
Mauritania,El Mami Tetah,AS Douanes (Nouakchott),False,24,€200k,200000
Mauritania,Ahmed M'Bracek,Al-Hilal Club (Omdurman),False,24,,0
Mauritania,Mamadou Sy,APR FC Kigali,False,25,,0
Mauritania,Ahmed Moctar,ASC Tevragh Zeïna,False,22,,0
American Samoa,Hengihengi Ikuvalu,Without ClubWithout Club,False,23,,0
American Samoa,Nicky Salapu,PanSa East FC,False,45,,0
American Samoa,Felise Fata,Pago Youth,False,20,,0
American Samoa,Ueli Tualaulelei,Pago Youth,False,26,,0
American Samoa,Mark Nelisi,Utulei Youth,False,21,,0
American Samoa,Leaga Lealuga,Royal Puma FC,False,-,,0
American Samoa,Kody Savelio,UnknownUnknown,False,16,,0
American Samoa,John-Kacey Ferreira-Sala,UnknownUnknown,False,16,,0
American Samoa,Ben Stefanon,CNU Captains (Christopher Newport Uni.),False,21,,0
American Samoa,Gabriel Taumua,Pago Youth B,False,23,,0
American Samoa,Roy Ledoux,Pago Youth,False,25,,0
American Samoa,Zachary Mana'o,UnknownUnknown,False,26,,0
American Samoa,Justin Mana'o,Pacific Lutheran University,False,32,,0
American Samoa,Peter Lauvao,Vaiala Tongan,False,22,,0
American Samoa,Kaleopa Siligi,Utulei Youth,False,29,,0
American Samoa,Michael Settle,Pago Youth,False,24,,0
American Samoa,Ziion Best,UnknownUnknown,False,-,,0
American Samoa,Misiona Fagapulea,Ilaoa & To’omata,False,-,,0
American Samoa,Petu Pouli,Pago Youth,False,20,,0
American Samoa,Ali'i Mitchell,Ware County Gators (Ware County Uni),False,31,,0
American Samoa,Demetrius Beauchamp,UnknownUnknown,False,34,,0
American Samoa,Vaha Tua,Vaiala Tongan,False,23,,0
American Samoa,Austin Kaleopa,Utulei Youth,False,24,,0
Bulgaria,Dimitar Mitov,Aberdeen FC,False,29,€800k,800000
Bulgaria,Aleks Bozhev,SK Slavia Prague B,False,20,€400k,400000
Bulgaria,Dimitar Evtimov,CSKA Sofia,False,32,€250k,250000
Bulgaria,Rosen Bozhinov,Pisa Sporting Club,False,21,€2.50m,2500000
Bulgaria,Kristian Dimitrov,Levski Sofia,False,29,€2.20m,2200000
Bulgaria,Martin Georgiev,AEK Athens,False,20,€2.00m,2000000
Bulgaria,Atanas Chernev,1.FC Kaiserslautern,False,23,€700k,700000
Bulgaria,Stefan Velkov,Vejle Boldklub,False,29,€700k,700000
Bulgaria,Hristiyan Petrov,SC Heerenveen,False,23,€500k,500000
Bulgaria,Ilia Gruev,Leeds United,True,25,€9.00m,9000000
Bulgaria,Ivan Yordanov,Ludogorets Razgrad,False,25,€700k,700000
Bulgaria,Ivaylo Chochev,Ludogorets Razgrad,False,33,€1.80m,1800000
Bulgaria,Andrian Kraev,Hapoel Tel Aviv,False,27,€1.50m,1500000
Bulgaria,Kristiyan Stoyanov,Slavia Sofia,False,22,€750k,750000
Bulgaria,Viktor Popov,Korona Kielce,False,26,€700k,700000
Bulgaria,Filip Krastev,Göztepe,False,24,€3.50m,3500000
Bulgaria,Martin Minchev,Cracovia,False,24,€1.00m,1000000
Bulgaria,Stanislav Shopov,NK Osijek,False,24,€700k,700000
Bulgaria,Zdravko Dimitrov,Amed SK,False,27,€600k,600000
Bulgaria,Kiril Despodov,PAOK Thessaloniki,False,29,€6.00m,6000000
Bulgaria,Marin Petkov,Al-Taawoun FC,False,22,€3.50m,3500000
